City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
336,Storm Lake,US,42.64,-95.21,15.8,92,90,8.05,overcast clouds
337,Sri Aman,MY,1.24,111.46,84.2,83,40,2.04,light rain
338,Elliot Lake,CA,46.38,-82.63,26.6,92,90,12.75,light snow
339,Arman,RU,59.7,150.17,-12.64,81,73,6.87,broken clouds
340,Bath,GB,51.38,-2.36,37.99,97,87,8.32,overcast clouds
341,Nome,US,64.5,-165.41,28.4,92,90,17.22,mist
342,Taybad,IR,34.74,60.78,38.41,63,0,5.01,clear sky
343,Sechura,PE,-5.56,-80.82,68.76,81,91,6.13,overcast clouds
344,San Patricio,US,28.02,-97.52,64.4,93,20,11.41,few clouds
345,Meulaboh,ID,4.14,96.13,78.71,84,100,4.07,overcast clouds
346,Shimoda,JP,34.67,138.95,43.0,93,13,11.72,few clouds
347,Meridian,US,43.61,-116.39,26.01,100,90,3.6,mist
348,Skibbereen,IE,51.55,-9.27,42.8,75,75,27.51,broken clouds
349,Klaksvik,FO,62.23,-6.59,35.6,80,100,36.91,snow
350,Wanning,CN,18.8,110.4,70.25,84,89,6.55,overcast clouds
351,Abdanan,IR,32.99,47.42,54.99,49,89,3.91,overcast clouds
352,Dumas,US,35.87,-101.97,32.0,85,1,3.36,clear sky
353,Brae,GB,60.4,-1.35,39.2,86,40,8.05,shower rain
354,Flinders,AU,-34.58,150.86,64.0,82,100,1.01,overcast clouds
355,Belmonte,BR,-15.86,-38.88,78.8,74,75,5.82,broken clouds
356,Lashio,MM,22.93,97.75,59.88,61,37,1.7,scattered clouds
357,Union City,US,37.6,-122.02,48.0,86,100,4.05,light rain
358,Husavik,IS,66.04,-17.34,28.4,86,75,28.86,light snow
